"unattempted","wrong","correct","partCorrect1m","partCorrect2m","partCorrect3m","subject","paper","year","qaNum","qaType","markScheme","right","tot","wOtot","uOtot","cOtot","rOtot","not.rOtot"
32640,110155,12363,NA,NA,NA,"chemistry","1","2018",11,"NumAns","+03",12363,155158,0.71,0.21,0.08,0.08,0.92
22910,90911,41337,NA,NA,NA,"chemistry","1","2018",12,"NumAns","+03",41337,155158,0.586,0.148,0.266,0.266,0.734
32951,120822,1385,NA,NA,NA,"chemistry","1","2018",13,"NumAns","+03",1385,155158,0.779,0.212,0.009,0.009,0.991
32749,114524,7885,NA,NA,NA,"chemistry","1","2018",14,"NumAns","+03",7885,155158,0.738,0.211,0.051,0.051,0.949
72144,72953,10061,NA,NA,NA,"chemistry","1","2018",15,"ParaSingleAns","-103",10061,155158,0.47,0.465,0.065,0.065,0.935
64129,65847,25182,NA,NA,NA,"chemistry","1","2018",16,"ParaSingleAns","-103",25182,155158,0.424,0.413,0.162,0.162,0.838
86837,42117,26204,NA,NA,NA,"chemistry","1","2018",17,"ParaSingleAns","-103",26204,155158,0.271,0.56,0.169,0.169,0.831
78913,53736,22509,NA,NA,NA,"chemistry","1","2018",18,"ParaSingleAns","-103",22509,155158,0.346,0.509,0.145,0.145,0.855
24984,63731,9511,23415,33517,0,"chemistry","2","2018",1,"MultCorrAns","-201234",32123,155158,0.411,0.161,0.061,0.207,0.793
40757,67402,17444,29555,0,0,"chemistry","2","2018",2,"MultCorrAns","-201234",24833,155158,0.434,0.263,0.112,0.16,0.84
70340,60836,23982,0,0,0,"chemistry","2","2018",3,"MultCorrAns","-201234",23982,155158,0.392,0.453,0.155,0.155,0.845
47112,81569,26477,0,0,0,"chemistry","2","2018",4,"MultCorrAns","-201234",26477,155158,0.526,0.304,0.171,0.171,0.829
48989,50020,20700,35449,0,0,"chemistry","2","2018",5,"MultCorrAns","-201234",29562,155158,0.322,0.316,0.133,0.191,0.809
78142,49487,15945,11584,0,0,"chemistry","2","2018",6,"MultCorrAns","-201234",18841,155158,0.319,0.504,0.103,0.121,0.879
9878,66700,78580,NA,NA,NA,"chemistry","2","2018",7,"NumAns","+03",78580,155158,0.43,0.064,0.506,0.506,0.494
29787,111554,13817,NA,NA,NA,"chemistry","2","2018",8,"NumAns","+03",13817,155158,0.719,0.192,0.089,0.089,0.911
43983,96399,14776,NA,NA,NA,"chemistry","2","2018",9,"NumAns","+03",14776,155158,0.621,0.283,0.095,0.095,0.905
17229,131704,6225,NA,NA,NA,"chemistry","2","2018",10,"NumAns","+03",6225,155158,0.849,0.111,0.04,0.04,0.96
32013,111869,11276,NA,NA,NA,"chemistry","2","2018",11,"NumAns","+03",11276,155158,0.721,0.206,0.073,0.073,0.927
51399,103343,416,NA,NA,NA,"chemistry","2","2018",12,"NumAns","+03",416,155158,0.666,0.331,0.003,0.003,0.997
38171,108504,8483,NA,NA,NA,"chemistry","2","2018",13,"NumAns","+03",8483,155158,0.699,0.246,0.055,0.055,0.945
35886,114884,4388,NA,NA,NA,"chemistry","2","2018",14,"NumAns","+03",4388,155158,0.74,0.231,0.028,0.028,0.972
13252,65337,76569,NA,NA,NA,"chemistry","2","2018",15,"TwoListMatchSingleAns","-103",76569,155158,0.421,0.085,0.493,0.493,0.507
59322,53242,42594,NA,NA,NA,"chemistry","2","2018",16,"TwoListMatchSingleAns","-103",42594,155158,0.343,0.382,0.275,0.275,0.725
21356,85651,48151,NA,NA,NA,"chemistry","2","2018",17,"TwoListMatchSingleAns","-103",48151,155158,0.552,0.138,0.31,0.31,0.69
77089,60237,17832,NA,NA,NA,"chemistry","2","2018",18,"TwoListMatchSingleAns","-103",17832,155158,0.388,0.497,0.115,0.115,0.885
55750,44521,2833,31257,20797,0,"maths","1","2018",1,"MultCorrAns","-201234",21046,155158,0.287,0.359,0.018,0.136,0.864
38634,18027,25911,36873,35713,0,"maths","1","2018",2,"MultCorrAns","-201234",52986,155158,0.116,0.249,0.167,0.341,0.659
33240,49117,30209,42592,0,0,"maths","1","2018",3,"MultCorrAns","-201234",40857,155158,0.317,0.214,0.195,0.263,0.737
95739,22849,3205,20354,13011,0,"maths","1","2018",4,"MultCorrAns","-201234",14799,155158,0.147,0.617,0.021,0.095,0.905
89898,46703,9662,8895,0,0,"maths","1","2018",5,"MultCorrAns","-201234",11886,155158,0.301,0.579,0.062,0.077,0.923
95932,36708,10992,11526,0,0,"maths","1","2018",6,"MultCorrAns","-201234",13874,155158,0.237,0.618,0.071,0.089,0.911
28821,86459,39878,NA,NA,NA,"maths","1","2018",7,"NumAns","+03",39878,155158,0.557,0.186,0.257,0.257,0.743
16999,100592,37567,NA,NA,NA,"maths","1","2018",8,"NumAns","+03",37567,155158,0.648,0.11,0.242,0.242,0.758
22507,125020,7631,NA,NA,NA,"maths","1","2018",9,"NumAns","+03",7631,155158,0.806,0.145,0.049,0.049,0.951
36196,89436,29526,NA,NA,NA,"maths","1","2018",10,"NumAns","+03",29526,155158,0.576,0.233,0.19,0.19,0.81
25459,77924,51775,NA,NA,NA,"maths","1","2018",11,"NumAns","+03",51775,155158,0.502,0.164,0.334,0.334,0.666
21738,110919,22501,NA,NA,NA,"maths","1","2018",12,"NumAns","+03",22501,155158,0.715,0.14,0.145,0.145,0.855
33942,96439,24777,NA,NA,NA,"maths","1","2018",13,"NumAns","+03",24777,155158,0.622,0.219,0.16,0.16,0.84
22942,86683,45533,NA,NA,NA,"maths","1","2018",14,"NumAns","+03",45533,155158,0.559,0.148,0.293,0.293,0.707
61549,53298,40311,NA,NA,NA,"maths","1","2018",15,"ParaSingleAns","-103",40311,155158,0.344,0.397,0.26,0.26,0.74
44832,59114,51212,NA,NA,NA,"maths","1","2018",16,"ParaSingleAns","-103",51212,155158,0.381,0.289,0.33,0.33,0.67
61124,57133,36901,NA,NA,NA,"maths","1","2018",17,"ParaSingleAns","-103",36901,155158,0.368,0.394,0.238,0.238,0.762
84479,51617,19062,NA,NA,NA,"maths","1","2018",18,"ParaSingleAns","-103",19062,155158,0.333,0.544,0.123,0.123,0.877
80560,60344,14254,0,0,0,"maths","2","2018",1,"MultCorrAns","-201234",14254,155158,0.389,0.519,0.092,0.092,0.908
112673,33585,1662,7238,0,0,"maths","2","2018",2,"MultCorrAns","-201234",3472,155158,0.216,0.726,0.011,0.022,0.978
74108,56910,13513,10627,0,0,"maths","2","2018",3,"MultCorrAns","-201234",16170,155158,0.367,0.478,0.087,0.104,0.896
64297,31720,33227,25914,0,0,"maths","2","2018",4,"MultCorrAns","-201234",39705,155158,0.204,0.414,0.214,0.256,0.744
87526,41941,1834,15053,8804,0,"maths","2","2018",5,"MultCorrAns","-201234",9999,155158,0.27,0.564,0.012,0.064,0.936
78118,23294,4575,26357,22814,0,"maths","2","2018",6,"MultCorrAns","-201234",22571,155158,0.15,0.503,0.029,0.145,0.855
39152,91366,24640,NA,NA,NA,"maths","2","2018",7,"NumAns","+03",24640,155158,0.589,0.252,0.159,0.159,0.841
10626,100075,44457,NA,NA,NA,"maths","2","2018",8,"NumAns","+03",44457,155158,0.645,0.068,0.287,0.287,0.713
30505,123303,1350,NA,NA,NA,"maths","2","2018",9,"NumAns","+03",1350,155158,0.795,0.197,0.009,0.009,0.991
21221,100349,33588,NA,NA,NA,"maths","2","2018",10,"NumAns","+03",33588,155158,0.647,0.137,0.216,0.216,0.784
27838,94251,33069,NA,NA,NA,"maths","2","2018",11,"NumAns","+03",33069,155158,0.607,0.179,0.213,0.213,0.787
37200,100743,17215,NA,NA,NA,"maths","2","2018",12,"NumAns","+03",17215,155158,0.649,0.24,0.111,0.111,0.889
29312,103176,22670,NA,NA,NA,"maths","2","2018",13,"NumAns","+03",22670,155158,0.665,0.189,0.146,0.146,0.854
30628,112130,12400,NA,NA,NA,"maths","2","2018",14,"NumAns","+03",12400,155158,0.723,0.197,0.08,0.08,0.92
46680,65685,42793,NA,NA,NA,"maths","2","2018",15,"TwoListMatchSingleAns","-103",42793,155158,0.423,0.301,0.276,0.276,0.724
24055,38322,92781,NA,NA,NA,"maths","2","2018",16,"TwoListMatchSingleAns","-103",92781,155158,0.247,0.155,0.598,0.598,0.402
48100,34382,72676,NA,NA,NA,"maths","2","2018",17,"TwoListMatchSingleAns","-103",72676,155158,0.222,0.31,0.468,0.468,0.532
41378,74729,39051,NA,NA,NA,"maths","2","2018",18,"TwoListMatchSingleAns","-103",39051,155158,0.482,0.267,0.252,0.252,0.748
98477,16993,2642,24470,16958,0,"physics","1","2017",1,"MultCorrAns","-201234",17238,159540,0.107,0.617,0.017,0.108,0.892
84487,34538,15346,25169,0,0,"physics","1","2017",2,"MultCorrAns","-201234",21638,159540,0.216,0.53,0.096,0.136,0.864
72141,65154,6034,16211,0,0,"physics","1","2017",3,"MultCorrAns","-201234",10087,159540,0.408,0.452,0.038,0.063,0.937
83671,56345,19524,0,0,0,"physics","1","2017",4,"MultCorrAns","-201234",19524,159540,0.353,0.524,0.122,0.122,0.878
61327,61491,15135,21587,0,0,"physics","1","2017",5,"MultCorrAns","-201234",20532,159540,0.385,0.384,0.095,0.129,0.871
56454,32775,37231,33080,0,0,"physics","1","2017",6,"MultCorrAns","-201234",45501,159540,0.205,0.354,0.233,0.285,0.715
57955,22888,9499,32099,37099,0,"physics","1","2017",7,"MultCorrAns","-201234",36073,159540,0.143,0.363,0.06,0.226,0.774
