unattempted,wrong,correct,partCorrect1m,partCorrect2m,partCorrect3m,subject,paper,year,qaNum,qaType,markScheme,right,tot,wOtot,uOtot,cOtot,rOtot,not.rOtot,tmpQOSjads-ocr-tillY2014P2,jeeadvqaNum,jeeadvqaType,jeeadvmarkScheme,YP,2020Feb17tmpQOSjads-ocr-tillY2014P2,2020Feb19tmpQOSjads-ocr-tillY2014P2,values2020Feb19tmpQOSjads-ocr-tillY2014P2
22910,90911,41337,NA,NA,NA,chemistry,1,2018,12,NumAns,3,41337,155158,0.586,0.148,0.266,0.266,0.734,,,,,Y2018P1,,,
32951,120822,1385,NA,NA,NA,chemistry,1,2018,13,NumAns,3,1385,155158,0.779,0.212,0.009,0.009,0.991,,,,,Y2018P1,,,
32749,114524,7885,NA,NA,NA,chemistry,1,2018,14,NumAns,3,7885,155158,0.738,0.211,0.051,0.051,0.949,,,,,Y2018P1,,,
72144,72953,10061,NA,NA,NA,chemistry,1,2018,15,ParaSingleAns,-103,10061,155158,0.47,0.465,0.065,0.065,0.935,,,,,Y2018P1,,,
64129,65847,25182,NA,NA,NA,chemistry,1,2018,16,ParaSingleAns,-103,25182,155158,0.424,0.413,0.162,0.162,0.838,,,,,Y2018P1,,,
86837,42117,26204,NA,NA,NA,chemistry,1,2018,17,ParaSingleAns,-103,26204,155158,0.271,0.56,0.169,0.169,0.831,,,,,Y2018P1,,,
78913,53736,22509,NA,NA,NA,chemistry,1,2018,18,ParaSingleAns,-103,22509,155158,0.346,0.509,0.145,0.145,0.855,,,,,Y2018P1,,,
24984,63731,9511,23415,33517,0,chemistry,2,2018,1,MultCorrAns,-201234,32123,155158,0.411,0.161,0.061,0.207,0.793,,,,,Y2018P2,,,
40757,67402,17444,29555,0,0,chemistry,2,2018,2,MultCorrAns,-201234,24833,155158,0.434,0.263,0.112,0.16,0.84,,,,,Y2018P2,,,
70340,60836,23982,0,0,0,chemistry,2,2018,3,MultCorrAns,-201234,23982,155158,0.392,0.453,0.155,0.155,0.845,,,,,Y2018P2,,,
47112,81569,26477,0,0,0,chemistry,2,2018,4,MultCorrAns,-201234,26477,155158,0.526,0.304,0.171,0.171,0.829,,,,,Y2018P2,,,
48989,50020,20700,35449,0,0,chemistry,2,2018,5,MultCorrAns,-201234,29562,155158,0.322,0.316,0.133,0.191,0.809,,,,,Y2018P2,,,
78142,49487,15945,11584,0,0,chemistry,2,2018,6,MultCorrAns,-201234,18841,155158,0.319,0.504,0.103,0.121,0.879,,,,,Y2018P2,,,
9878,66700,78580,NA,NA,NA,chemistry,2,2018,7,NumAns,3,78580,155158,0.43,0.064,0.506,0.506,0.494,,,,,Y2018P2,,,
29787,111554,13817,NA,NA,NA,chemistry,2,2018,8,NumAns,3,13817,155158,0.719,0.192,0.089,0.089,0.911,,,,,Y2018P2,,,
43983,96399,14776,NA,NA,NA,chemistry,2,2018,9,NumAns,3,14776,155158,0.621,0.283,0.095,0.095,0.905,,,,,Y2018P2,,,
17229,131704,6225,NA,NA,NA,chemistry,2,2018,10,NumAns,3,6225,155158,0.849,0.111,0.04,0.04,0.96,,,,,Y2018P2,,,
32013,111869,11276,NA,NA,NA,chemistry,2,2018,11,NumAns,3,11276,155158,0.721,0.206,0.073,0.073,0.927,,,,,Y2018P2,,,
51399,103343,416,NA,NA,NA,chemistry,2,2018,12,NumAns,3,416,155158,0.666,0.331,0.003,0.003,0.997,,,,,Y2018P2,,,
38171,108504,8483,NA,NA,NA,chemistry,2,2018,13,NumAns,3,8483,155158,0.699,0.246,0.055,0.055,0.945,,,,,Y2018P2,,,
35886,114884,4388,NA,NA,NA,chemistry,2,2018,14,NumAns,3,4388,155158,0.74,0.231,0.028,0.028,0.972,,,,,Y2018P2,,,
13252,65337,76569,NA,NA,NA,chemistry,2,2018,15,TwoListMatchSingleAns,-103,76569,155158,0.421,0.085,0.493,0.493,0.507,,,,,Y2018P2,,,
59322,53242,42594,NA,NA,NA,chemistry,2,2018,16,TwoListMatchSingleAns,-103,42594,155158,0.343,0.382,0.275,0.275,0.725,,,,,Y2018P2,,,
21356,85651,48151,NA,NA,NA,chemistry,2,2018,17,TwoListMatchSingleAns,-103,48151,155158,0.552,0.138,0.31,0.31,0.69,,,,,Y2018P2,,,
77089,60237,17832,NA,NA,NA,chemistry,2,2018,18,TwoListMatchSingleAns,-103,17832,155158,0.388,0.497,0.115,0.115,0.885,,,,,Y2018P2,,,
55750,44521,2833,31257,20797,0,maths,1,2018,1,MultCorrAns,-201234,21046,155158,0.287,0.359,0.018,0.136,0.864,,,,,Y2018P1,,,
38634,18027,25911,36873,35713,0,maths,1,2018,2,MultCorrAns,-201234,52986,155158,0.116,0.249,0.167,0.341,0.659,,,,,Y2018P1,,,
33240,49117,30209,42592,0,0,maths,1,2018,3,MultCorrAns,-201234,40857,155158,0.317,0.214,0.195,0.263,0.737,,,,,Y2018P1,,,
95739,22849,3205,20354,13011,0,maths,1,2018,4,MultCorrAns,-201234,14799,155158,0.147,0.617,0.021,0.095,0.905,,,,,Y2018P1,,,
89898,46703,9662,8895,0,0,maths,1,2018,5,MultCorrAns,-201234,11886,155158,0.301,0.579,0.062,0.077,0.923,,,,,Y2018P1,,,
95932,36708,10992,11526,0,0,maths,1,2018,6,MultCorrAns,-201234,13874,155158,0.237,0.618,0.071,0.089,0.911,,,,,Y2018P1,,,
28821,86459,39878,NA,NA,NA,maths,1,2018,7,NumAns,3,39878,155158,0.557,0.186,0.257,0.257,0.743,,,,,Y2018P1,,,
16999,100592,37567,NA,NA,NA,maths,1,2018,8,NumAns,3,37567,155158,0.648,0.11,0.242,0.242,0.758,,,,,Y2018P1,,,
22507,125020,7631,NA,NA,NA,maths,1,2018,9,NumAns,3,7631,155158,0.806,0.145,0.049,0.049,0.951,,,,,Y2018P1,,,
36196,89436,29526,NA,NA,NA,maths,1,2018,10,NumAns,3,29526,155158,0.576,0.233,0.19,0.19,0.81,,,,,Y2018P1,,,
25459,77924,51775,NA,NA,NA,maths,1,2018,11,NumAns,3,51775,155158,0.502,0.164,0.334,0.334,0.666,,,,,Y2018P1,,,
21738,110919,22501,NA,NA,NA,maths,1,2018,12,NumAns,3,22501,155158,0.715,0.14,0.145,0.145,0.855,,,,,Y2018P1,,,
33942,96439,24777,NA,NA,NA,maths,1,2018,13,NumAns,3,24777,155158,0.622,0.219,0.16,0.16,0.84,,,,,Y2018P1,,,
22942,86683,45533,NA,NA,NA,maths,1,2018,14,NumAns,3,45533,155158,0.559,0.148,0.293,0.293,0.707,,,,,Y2018P1,,,
61549,53298,40311,NA,NA,NA,maths,1,2018,15,ParaSingleAns,-103,40311,155158,0.344,0.397,0.26,0.26,0.74,,,,,Y2018P1,,,
44832,59114,51212,NA,NA,NA,maths,1,2018,16,ParaSingleAns,-103,51212,155158,0.381,0.289,0.33,0.33,0.67,,,,,Y2018P1,,,
61124,57133,36901,NA,NA,NA,maths,1,2018,17,ParaSingleAns,-103,36901,155158,0.368,0.394,0.238,0.238,0.762,,,,,Y2018P1,,,
84479,51617,19062,NA,NA,NA,maths,1,2018,18,ParaSingleAns,-103,19062,155158,0.333,0.544,0.123,0.123,0.877,,,,,Y2018P1,,,
80560,60344,14254,0,0,0,maths,2,2018,1,MultCorrAns,-201234,14254,155158,0.389,0.519,0.092,0.092,0.908,,,,,Y2018P2,,,
112673,33585,1662,7238,0,0,maths,2,2018,2,MultCorrAns,-201234,3472,155158,0.216,0.726,0.011,0.022,0.978,,,,,Y2018P2,,,
74108,56910,13513,10627,0,0,maths,2,2018,3,MultCorrAns,-201234,16170,155158,0.367,0.478,0.087,0.104,0.896,,,,,Y2018P2,,,
64297,31720,33227,25914,0,0,maths,2,2018,4,MultCorrAns,-201234,39705,155158,0.204,0.414,0.214,0.256,0.744,,,,,Y2018P2,,,
87526,41941,1834,15053,8804,0,maths,2,2018,5,MultCorrAns,-201234,9999,155158,0.27,0.564,0.012,0.064,0.936,,,,,Y2018P2,,,
78118,23294,4575,26357,22814,0,maths,2,2018,6,MultCorrAns,-201234,22571,155158,0.15,0.503,0.029,0.145,0.855,,,,,Y2018P2,,,
39152,91366,24640,NA,NA,NA,maths,2,2018,7,NumAns,3,24640,155158,0.589,0.252,0.159,0.159,0.841,,,,,Y2018P2,,,
10626,100075,44457,NA,NA,NA,maths,2,2018,8,NumAns,3,44457,155158,0.645,0.068,0.287,0.287,0.713,,,,,Y2018P2,,,
30505,123303,1350,NA,NA,NA,maths,2,2018,9,NumAns,3,1350,155158,0.795,0.197,0.009,0.009,0.991,,,,,Y2018P2,,,
21221,100349,33588,NA,NA,NA,maths,2,2018,10,NumAns,3,33588,155158,0.647,0.137,0.216,0.216,0.784,,,,,Y2018P2,,,
27838,94251,33069,NA,NA,NA,maths,2,2018,11,NumAns,3,33069,155158,0.607,0.179,0.213,0.213,0.787,,,,,Y2018P2,,,
37200,100743,17215,NA,NA,NA,maths,2,2018,12,NumAns,3,17215,155158,0.649,0.24,0.111,0.111,0.889,,,,,Y2018P2,,,
29312,103176,22670,NA,NA,NA,maths,2,2018,13,NumAns,3,22670,155158,0.665,0.189,0.146,0.146,0.854,,,,,Y2018P2,,,
30628,112130,12400,NA,NA,NA,maths,2,2018,14,NumAns,3,12400,155158,0.723,0.197,0.08,0.08,0.92,,,,,Y2018P2,,,
46680,65685,42793,NA,NA,NA,maths,2,2018,15,TwoListMatchSingleAns,-103,42793,155158,0.423,0.301,0.276,0.276,0.724,,,,,Y2018P2,,,
24055,38322,92781,NA,NA,NA,maths,2,2018,16,TwoListMatchSingleAns,-103,92781,155158,0.247,0.155,0.598,0.598,0.402,,,,,Y2018P2,,,
48100,34382,72676,NA,NA,NA,maths,2,2018,17,TwoListMatchSingleAns,-103,72676,155158,0.222,0.31,0.468,0.468,0.532,,,,,Y2018P2,,,
41378,74729,39051,NA,NA,NA,maths,2,2018,18,TwoListMatchSingleAns,-103,39051,155158,0.482,0.267,0.252,0.252,0.748,,,,,Y2018P2,,,
98477,16993,2642,24470,16958,0,physics,1,2017,1,MultCorrAns,-201234,17238,159540,0.107,0.617,0.017,0.108,0.892,,,,,Y2017P1,,,
84487,34538,15346,25169,0,0,physics,1,2017,2,MultCorrAns,-201234,21638,159540,0.216,0.53,0.096,0.136,0.864,,,,,Y2017P1,,,
72141,65154,6034,16211,0,0,physics,1,2017,3,MultCorrAns,-201234,10087,159540,0.408,0.452,0.038,0.063,0.937,,,,,Y2017P1,,,
83671,56345,19524,0,0,0,physics,1,2017,4,MultCorrAns,-201234,19524,159540,0.353,0.524,0.122,0.122,0.878,,,,,Y2017P1,,,
61327,61491,15135,21587,0,0,physics,1,2017,5,MultCorrAns,-201234,20532,159540,0.385,0.384,0.095,0.129,0.871,,,,,Y2017P1,,,
56454,32775,37231,33080,0,0,physics,1,2017,6,MultCorrAns,-201234,45501,159540,0.205,0.354,0.233,0.285,0.715,,,,,Y2017P1,,,
57955,22888,9499,32099,37099,0,physics,1,2017,7,MultCorrAns,-201234,36073,159540,0.143,0.363,0.06,0.226,0.774,,,,,Y2017P1,,,
7996,115450,36094,NA,NA,NA,physics,1,2017,8,SingDigitInteger,3,36094,159540,0.724,0.05,0.226,0.226,0.774,,,,,Y2017P1,,,
5511,81444,72585,NA,NA,NA,physics,1,2017,9,SingDigitInteger,3,72585,159540,0.51,0.035,0.455,0.455,0.545,,,,,Y2017P1,,,
9365,103014,47161,NA,NA,NA,physics,1,2017,10,SingDigitInteger,3,47161,159540,0.646,0.059,0.296,0.296,0.704,,,,,Y2017P1,,,
8867,113387,37286,NA,NA,NA,physics,1,2017,11,SingDigitInteger,3,37286,159540,0.711,0.056,0.234,0.234,0.766,,,,,Y2017P1,,,
14271,110692,34577,NA,NA,NA,physics,1,2017,12,SingDigitInteger,3,34577,159540,0.694,0.089,0.217,0.217,0.783,,,,,Y2017P1,,,
43527,54492,61521,NA,NA,NA,physics,1,2017,13,SingCorrAns,-103,61521,159540,0.342,0.273,0.386,0.386,0.614,,,,,Y2017P1,,,
51952,48662,58926,NA,NA,NA,physics,1,2017,14,SingCorrAns,-103,58926,159540,0.305,0.326,0.369,0.369,0.631,,,,,Y2017P1,,,
45892,50737,62911,NA,NA,NA,physics,1,2017,15,SingCorrAns,-103,62911,159540,0.318,0.288,0.394,0.394,0.606,,,,,Y2017P1,,,
28823,31282,99435,NA,NA,NA,physics,1,2017,16,SingCorrAns,-103,99435,159540,0.196,0.181,0.623,0.623,0.377,,,,,Y2017P1,,,
22167,32636,104737,NA,NA,NA,physics,1,2017,17,SingCorrAns,-103,104737,159540,0.205,0.139,0.656,0.656,0.344,,,,,Y2017P1,,,
43924,26500,89116,NA,NA,NA,physics,1,2017,18,SingCorrAns,-103,89116,159540,0.166,0.275,0.559,0.559,0.441,,,,,Y2017P1,,,
67594,49229,42717,NA,NA,NA,physics,2,2017,1,SingCorrAns,-103,42717,159540,0.309,0.424,0.268,0.268,0.732,,,,,Y2017P2,,,
82616,40954,35970,NA,NA,NA,physics,2,2017,2,SingCorrAns,-103,35970,159540,0.257,0.518,0.225,0.225,0.775,,,,,Y2017P2,,,
69421,63795,26324,NA,NA,NA,physics,2,2017,3,SingCorrAns,-103,26324,159540,0.4,0.435,0.165,0.165,0.835,,,,,Y2017P2,,,
65216,52388,41936,NA,NA,NA,physics,2,2017,4,SingCorrAns,-103,41936,159540,0.328,0.409,0.263,0.263,0.737,,,,,Y2017P2,,,
58696,27253,73591,NA,NA,NA,physics,2,2017,5,SingCorrAns,-103,73591,159540,0.171,0.368,0.461,0.461,0.539,,,,,Y2017P2,,,
69570,41933,48037,NA,NA,NA,physics,2,2017,6,SingCorrAns,-103,48037,159540,0.263,0.436,0.301,0.301,0.699,,,,,Y2017P2,,,
67138,63818,28584,NA,NA,NA,physics,2,2017,7,SingCorrAns,-103,28584,159540,0.4,0.421,0.179,0.179,0.821,,,,,Y2017P2,,,
81061,29806,20378,28295,0,0,physics,2,2017,8,MultCorrAns,-201234,27452,159540,0.187,0.508,0.128,0.172,0.828,,,,,Y2017P2,,,
81055,53069,6242,19174,0,0,physics,2,2017,9,MultCorrAns,-201234,11036,159540,0.333,0.508,0.039,0.069,0.931,,,,,Y2017P2,,,
52584,57280,13140,36536,0,0,physics,2,2017,10,MultCorrAns,-201234,22274,159540,0.359,0.33,0.082,0.14,0.86,,,,,Y2017P2,,,
77391,51185,12742,18222,0,0,physics,2,2017,11,MultCorrAns,-201234,17298,159540,0.321,0.485,0.08,0.108,0.892,,,,,Y2017P2,,,
55143,47030,20654,14167,22546,0,physics,2,2017,12,MultCorrAns,-201234,35469,159540,0.295,0.346,0.129,0.222,0.778,,,,,Y2017P2,,,
44912,47467,15556,26506,25099,0,physics,2,2017,13,MultCorrAns,-201234,34732,159540,0.298,0.282,0.098,0.218,0.782,,,,,Y2017P2,,,
62894,54745,32921,8980,0,0,physics,2,2017,14,MultCorrAns,-201234,35166,159540,0.343,0.394,0.206,0.22,0.78,,,,,Y2017P2,,,
3907,104551,51082,NA,NA,NA,physics,2,2017,15,Compr,3,51082,159540,0.655,0.024,0.32,0.32,0.68,,,,,Y2017P2,,,
4955,98242,56343,NA,NA,NA,physics,2,2017,16,Compr,3,56343,159540,0.616,0.031,0.353,0.353,0.647,,,,,Y2017P2,,,
6098,113914,39528,NA,NA,NA,physics,2,2017,18,Compr,3,39528,159540,0.714,0.038,0.248,0.248,0.752,,,,,Y2017P2,,,
62339,43678,4769,27263,21491,0,chemistry,1,2017,1,MultCorrAns,-201234,22330,159540,0.274,0.391,0.03,0.14,0.86,,,,,Y2017P1,,,
63895,32715,28827,34103,0,0,chemistry,1,2017,2,MultCorrAns,-201234,37353,159540,0.205,0.4,0.181,0.234,0.766,,,,,Y2017P1,,,
26968,16427,27459,34258,54428,0,chemistry,1,2017,3,MultCorrAns,-201234,63237,159540,0.103,0.169,0.172,0.396,0.604,,,,,Y2017P1,,,
67146,65590,7832,18972,0,0,chemistry,1,2017,4,MultCorrAns,-201234,12575,159540,0.411,0.421,0.049,0.079,0.921,,,,,Y2017P1,,,
97730,20500,1575,27562,12173,0,chemistry,1,2017,5,MultCorrAns,-201234,14552,159540,0.128,0.613,0.01,0.091,0.909,,,,,Y2017P1,,,
10708,80777,29668,38387,0,0,chemistry,1,2017,6,MultCorrAns,-201234,39265,159540,0.506,0.067,0.186,0.246,0.754,,,,,Y2017P1,,,
60977,54522,20551,23490,0,0,chemistry,1,2017,7,MultCorrAns,-201234,26423,159540,0.342,0.382,0.129,0.166,0.834,,,,,Y2017P1,,,
5343,75652,78545,NA,NA,NA,chemistry,1,2017,8,SingDigitInteger,3,78545,159540,0.474,0.033,0.492,0.492,0.508,,,,,Y2017P1,,,
11921,122221,25398,NA,NA,NA,chemistry,1,2017,9,SingDigitInteger,3,25398,159540,0.766,0.075,0.159,0.159,0.841,,,,,Y2017P1,,,
5741,102243,51556,NA,NA,NA,chemistry,1,2017,10,SingDigitInteger,3,51556,159540,0.641,0.036,0.323,0.323,0.677,,,,,Y2017P1,,,
2462,123738,33340,NA,NA,NA,chemistry,1,2017,12,SingDigitInteger,3,33340,159540,0.776,0.015,0.209,0.209,0.791,,,,,Y2017P1,,,
65428,48492,45620,NA,NA,NA,chemistry,1,2017,13,SingCorrAns,-103,45620,159540,0.304,0.41,0.286,0.286,0.714,,,,,Y2017P1,,,
60307,48157,51076,NA,NA,NA,chemistry,1,2017,14,SingCorrAns,-103,51076,159540,0.302,0.378,0.32,0.32,0.68,,,,,Y2017P1,,,
68246,64664,26630,NA,NA,NA,chemistry,1,2017,15,SingCorrAns,-103,26630,159540,0.405,0.428,0.167,0.167,0.833,,,,,Y2017P1,,,
38403,79599,41538,NA,NA,NA,chemistry,1,2017,16,SingCorrAns,-103,41538,159540,0.499,0.241,0.26,0.26,0.74,,,,,Y2017P1,,,
53611,65439,40490,NA,NA,NA,chemistry,1,2017,17,SingCorrAns,-103,40490,159540,0.41,0.336,0.254,0.254,0.746,,,,,Y2017P1,,,
36395,27919,95226,NA,NA,NA,chemistry,1,2017,18,SingCorrAns,-103,95226,159540,0.175,0.228,0.597,0.597,0.403,,,,,Y2017P1,,,
39872,51078,68590,NA,NA,NA,chemistry,2,2017,1,SingCorrAns,-103,68590,159540,0.32,0.25,0.43,0.43,0.57,,,,,Y2017P2,,,
32002,50654,76884,NA,NA,NA,chemistry,2,2017,2,SingCorrAns,-103,76884,159540,0.318,0.201,0.482,0.482,0.518,,,,,Y2017P2,,,
108054,27305,24181,NA,NA,NA,chemistry,2,2017,3,SingCorrAns,-103,24181,159540,0.171,0.677,0.152,0.152,0.848,,,,,Y2017P2,,,
32770,65234,61536,NA,NA,NA,chemistry,2,2017,4,SingCorrAns,-103,61536,159540,0.409,0.205,0.386,0.386,0.614,,,,,Y2017P2,,,
10620,26752,122168,NA,NA,NA,chemistry,2,2017,5,SingCorrAns,-103,122168,159540,0.168,0.067,0.766,0.766,0.234,,,,,Y2017P2,,,
35040,68938,55562,NA,NA,NA,chemistry,2,2017,6,SingCorrAns,-103,55562,159540,0.432,0.22,0.348,0.348,0.652,,,,,Y2017P2,,,
28471,49904,81165,NA,NA,NA,chemistry,2,2017,7,SingCorrAns,-103,81165,159540,0.313,0.178,0.509,0.509,0.491,,,,,Y2017P2,,,
30147,87251,21003,21139,0,0,chemistry,2,2017,8,MultCorrAns,-201234,26288,159540,0.547,0.189,0.132,0.165,0.835,,,,,Y2017P2,,,
79645,54581,13906,11408,0,0,chemistry,2,2017,9,MultCorrAns,-201234,16758,159540,0.342,0.499,0.087,0.105,0.895,,,,,Y2017P2,,,
96594,39553,4823,18570,0,0,chemistry,2,2017,10,MultCorrAns,-201234,9465,159540,0.248,0.605,0.03,0.059,0.941,,,,,Y2017P2,,,
27199,0,3694,46132,68870,13645,chemistry,2,2017,11,MultCorrAns,-201234,59896,159540,0,0.17,0.023,0.375,0.625,,,,,Y2017P2,,,
37479,42168,4412,42933,32548,0,chemistry,2,2017,12,MultCorrAns,-201234,31419,159540,0.264,0.235,0.028,0.197,0.803,,,,,Y2017P2,,,
