"","subject","topic","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011.1","X2011.2","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019.01091","X2019.01092","X2019.01101","X2019.01102","X2019.01111","X2019.01112","X2019.01121","X2019.01122","X2019.04081","X2019.04082","X2019.04091","X2019.04092","X2019.04101","X2019.04102","X2019.04121","X2019.04122","qTopic","avgWt","topicJEE","0%","25%","50%","75%","100%","subsec"
"47","m",NA,12.5,13.8461538461538,14.9253731343284,14.7058823529412,16.6666666666667,13.8888888888889,11.7647058823529,13.3333333333333,10,10,13.3333333333333,20,16.6666666666667,17.2413793103448,20.6896551724138,16.6666666666667,10,16.6666666666667,16.6666666666667,10,17.2413793103448,17.2413793103448,13.7931034482759,17.2413793103448,16.6666666666667,17.2413793103448,13.3333333333333,17.2413793103448,13.3333333333333,16.6666666666667,16.6666666666667,17.2413793103448,16.6666666666667,17.2413793103448,NA,15.2170038394543,"Unit11: co-ordinate geometry",10,13.3333333333333,16.6666666666667,17.2413793103448,20.6896551724138,"mUni"
"59","m",NA,13.8888888888889,12.3076923076923,11.9402985074627,19.1176470588235,8.33333333333333,22.2222222222222,11.7647058823529,13.3333333333333,16.6666666666667,13.3333333333333,16.6666666666667,16.6666666666667,10,13.7931034482759,10.3448275862069,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,6.66666666666667,10.3448275862069,10.3448275862069,13.7931034482759,10.3448275862069,10,10.3448275862069,13.3333333333333,10.3448275862069,16.6666666666667,10,13.3333333333333,13.7931034482759,6.66666666666667,13.7931034482759,NA,12.7494951228761,"Unit8: limit, continuity and differentiability",6.66666666666667,10.3448275862069,13.3333333333333,13.7931034482759,22.2222222222222,"mUni"
"13","p",NA,6.66666666666667,5.33333333333333,5.33333333333333,6.66666666666667,5.45454545454545,12.5,5.71428571428571,13.3333333333333,13.3333333333333,10,6.66666666666667,10,10,6.66666666666667,10,6.66666666666667,10,6.66666666666667,10,10,10,10,10,6.66666666666667,10,10,10,13.3333333333333,10,6.66666666666667,6.66666666666667,6.66666666666667,13.3333333333333,6.66666666666667,NA,8.85300483829896,"A-Unit11: electrostatics",5.33333333333333,6.66666666666667,10,10,13.3333333333333,"pA-U"
"60","m",NA,8.33333333333333,9.23076923076923,8.95522388059701,5.88235294117647,11.1111111111111,8.33333333333333,5.88235294117647,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,10,6.89655172413793,10.3448275862069,6.66666666666667,6.66666666666667,10,10,13.3333333333333,10.3448275862069,10.3448275862069,10.3448275862069,10.3448275862069,10,6.89655172413793,10,10.3448275862069,10,13.3333333333333,10,10.3448275862069,13.3333333333333,6.89655172413793,NA,8.74995857982429,"Unit9: integral calculus",3.33333333333333,6.72413793103448,10,10.3448275862069,13.3333333333333,"mUni"
"12","p",NA,10.6666666666667,10.6666666666667,8,8,9.09090909090909,12.5,8.57142857142857,10,3.33333333333333,10,10,10,10,6.66666666666667,6.66666666666667,10,3.33333333333333,10,10,10,6.66666666666667,10,10,10,10,6.66666666666667,3.33333333333333,3.33333333333333,13.3333333333333,6.66666666666667,6.66666666666667,6.66666666666667,10,13.3333333333333,NA,8.65183346065699,"A-Unit10: oscillations and waves",3.33333333333333,6.66666666666667,10,10,13.3333333333333,"pA-U"
"14","p",NA,8,9.33333333333333,9.33333333333333,10.6666666666667,12.7272727272727,5,11.4285714285714,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,10,10,13.3333333333333,6.66666666666667,13.3333333333333,10,10,10,13.3333333333333,6.66666666666667,6.66666666666667,10,6.66666666666667,10,16.6666666666667,3.33333333333333,10,3.33333333333333,NA,8.03399541634836,"A-Unit12: current electricity",3.33333333333333,3.75,8.66666666666667,10,16.6666666666667,"pA-U"
"24","p",NA,6.66666666666667,6.66666666666667,4,8,9.09090909090909,10,11.4285714285714,6.66666666666667,10,10,3.33333333333333,0,6.66666666666667,6.66666666666667,10,6.66666666666667,6.66666666666667,16.6666666666667,6.66666666666667,3.33333333333333,10,6.66666666666667,6.66666666666667,10,6.66666666666667,13.3333333333333,10,13.3333333333333,10,13.3333333333333,13.3333333333333,10,6.66666666666667,3.33333333333333,NA,8.30939648586707,"A-Unit5: rotational motion",0,6.66666666666667,7.33333333333333,10,16.6666666666667,"pA-U"
"18","p",NA,5.33333333333333,4,5.33333333333333,8,1.81818181818182,5,11.4285714285714,10,10,10,13.3333333333333,10,13.3333333333333,10,10,10,10,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,10,6.66666666666667,10,6.66666666666667,10,6.66666666666667,6.66666666666667,10,6.66666666666667,6.66666666666667,10,6.66666666666667,NA,8.16412019353196,"A-Unit16: optics",1.81818181818182,6.66666666666667,7.33333333333333,10,13.3333333333333,"pA-U"
"49","m",NA,6.94444444444444,9.23076923076923,7.46268656716418,10.2941176470588,5.55555555555556,5.55555555555556,5.88235294117647,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,3.44827586206897,3.44827586206897,3.33333333333333,10,3.33333333333333,10,10,10.3448275862069,10.3448275862069,10.3448275862069,10.3448275862069,10,10.3448275862069,10,3.44827586206897,10,10,10,3.44827586206897,6.66666666666667,6.89655172413793,NA,7.45115514838743,"Unit13: vector algebra",3.33333333333333,5.63725490196078,6.92049808429119,10,10.3448275862069,"mUni"
"50","m",NA,9.72222222222222,7.69230769230769,7.46268656716418,7.35294117647059,5.55555555555556,8.33333333333333,8.82352941176471,13.3333333333333,10,10,6.66666666666667,6.66666666666667,6.66666666666667,6.89655172413793,6.89655172413793,6.66666666666667,10,6.66666666666667,6.66666666666667,6.66666666666667,6.89655172413793,6.89655172413793,6.89655172413793,6.89655172413793,6.66666666666667,10.3448275862069,6.66666666666667,6.89655172413793,6.66666666666667,3.33333333333333,6.66666666666667,6.89655172413793,10,6.89655172413793,NA,7.5693049724196,"Unit14: statistics and probability",3.33333333333333,6.66666666666667,6.89655172413793,8.17307692307692,13.3333333333333,"mUni"
