"qNum","unattempted","wrong","correct","partCorrect1m","partCorrect2m","partCorrect3m","subject","paper","year","qaNum","qaType","markScheme"
NA,36911,54357,24703,NA,NA,NA,"chemistry","2",2013,20,"SingDigitInteger","-104"
NA,77554,33046,5371,NA,NA,NA,"maths","2",2013,1,"MultCorrAns","-103"
NA,20291,44339,51341,NA,NA,NA,"maths","2",2013,2,"MultCorrAns","-103"
NA,72184,32404,11383,NA,NA,NA,"maths","2",2013,3,"MultCorrAns","-103"
NA,45500,60648,9823,NA,NA,NA,"maths","2",2013,4,"MultCorrAns","-103"
NA,92748,20382,2841,NA,NA,NA,"maths","2",2013,5,"MultCorrAns","-103"
NA,26684,26663,62624,NA,NA,NA,"maths","2",2013,6,"MultCorrAns","-103"
NA,44089,35542,36340,NA,NA,NA,"maths","2",2013,7,"MultCorrAns","-103"
NA,78855,27637,9479,NA,NA,NA,"maths","2",2013,8,"MultCorrAns","-103"
NA,65215,33198,17558,NA,NA,NA,"maths","2",2013,9,"ParaSingleAns","-103"
NA,73539,26399,16033,NA,NA,NA,"maths","2",2013,10,"ParaSingleAns","-103"
NA,30756,26234,58981,NA,NA,NA,"maths","2",2013,11,"ParaSingleAns","-103"
NA,46029,32876,37066,NA,NA,NA,"maths","2",2013,12,"ParaSingleAns","-103"
NA,69724,37925,8322,NA,NA,NA,"maths","2",2013,13,"ParaSingleAns","-103"
NA,68226,26197,21548,NA,NA,NA,"maths","2",2013,14,"ParaSingleAns","-103"
NA,46094,36952,32925,NA,NA,NA,"maths","2",2013,15,"ParaSingleAns","-103"
NA,61604,43535,10832,NA,NA,NA,"maths","2",2013,16,"ParaSingleAns","-103"
NA,44931,44089,26951,NA,NA,NA,"maths","2",2013,17,"TwoListMatchSingleAns","-103"
NA,27769,32360,55842,NA,NA,NA,"maths","2",2013,18,"TwoListMatchSingleAns","-103"
NA,22744,23724,69503,NA,NA,NA,"maths","2",2013,19,"TwoListMatchSingleAns","-103"
NA,18899,20874,76198,NA,NA,NA,"maths","2",2013,20,"TwoListMatchSingleAns","-103"
"1",176389,223035,80227,NA,NA,NA,"physics","1",2012,1,"SingCorrAns","-103"
"2",290084,111637,77930,NA,NA,NA,"physics","1",2012,2,"SingCorrAns","-103"
"3",137160,193538,148953,NA,NA,NA,"physics","1",2012,3,"SingCorrAns","-103"
"4",243553,183531,52567,NA,NA,NA,"physics","1",2012,4,"SingCorrAns","-103"
"5",265586,136325,77740,NA,NA,NA,"physics","1",2012,5,"SingCorrAns","-103"
"6",70991,187819,220841,NA,NA,NA,"physics","1",2012,6,"SingCorrAns","-103"
"7",166651,230283,82717,NA,NA,NA,"physics","1",2012,7,"SingCorrAns","-103"
"8",192150,184143,103358,NA,NA,NA,"physics","1",2012,8,"SingCorrAns","-103"
"9",287624,123522,68505,NA,NA,NA,"physics","1",2012,9,"SingCorrAns","-103"
"10",208443,193386,77822,NA,NA,NA,"physics","1",2012,10,"SingCorrAns","-103"
"11",36338,336771,106542,NA,NA,NA,"physics","1",2012,11,"MultCorrAns","+03"
"12",36432,380494,62725,NA,NA,NA,"physics","1",2012,12,"MultCorrAns","+03"
"13",20942,349224,109485,NA,NA,NA,"physics","1",2012,13,"MultCorrAns","+03"
"14",41592,391823,46236,NA,NA,NA,"physics","1",2012,14,"MultCorrAns","+03"
"15",33272,264040,182339,NA,NA,NA,"physics","1",2012,15,"MultCorrAns","+03"
"16",80412,363979,35260,NA,NA,NA,"physics","1",2012,16,"SingDigitInteger","+03"
"17",75410,355049,49192,NA,NA,NA,"physics","1",2012,17,"SingDigitInteger","+03"
"18",59042,359958,60651,NA,NA,NA,"physics","1",2012,18,"SingDigitInteger","+03"
"19",79906,377243,22502,NA,NA,NA,"physics","1",2012,19,"SingDigitInteger","+03"
"20",85269,339482,54900,NA,NA,NA,"physics","1",2012,20,"SingDigitInteger","+03"
"1",189857,157746,132048,NA,NA,NA,"physics","2",2012,1,"SingCorrAns","-103"
"2",141843,263092,74716,NA,NA,NA,"physics","2",2012,2,"SingCorrAns","-103"
"3",208553,195171,75927,NA,NA,NA,"physics","2",2012,3,"SingCorrAns","-103"
"4",139125,172988,167538,NA,NA,NA,"physics","2",2012,4,"SingCorrAns","-103"
"5",246661,179038,53952,NA,NA,NA,"physics","2",2012,5,"SingCorrAns","-103"
"6",223714,153592,102345,NA,NA,NA,"physics","2",2012,6,"SingCorrAns","-103"
"7",285647,136950,57054,NA,NA,NA,"physics","2",2012,7,"SingCorrAns","-103"
"8",151385,187575,140691,NA,NA,NA,"physics","2",2012,8,"SingCorrAns","-103"
"9",71507,219750,188394,NA,NA,NA,"physics","2",2012,9,"ParaSingleAns","-103"
"10",88869,152536,238246,NA,NA,NA,"physics","2",2012,10,"ParaSingleAns","-103"
"11",105722,282372,91557,NA,NA,NA,"physics","2",2012,11,"ParaSingleAns","-103"
"12",159458,260525,59668,NA,NA,NA,"physics","2",2012,12,"ParaSingleAns","-103"
"13",200592,231977,47082,NA,NA,NA,"physics","2",2012,13,"ParaSingleAns","-103"
"14",194339,174467,110845,NA,NA,NA,"physics","2",2012,14,"ParaSingleAns","-103"
"15",45602,372302,61747,NA,NA,NA,"physics","2",2012,15,"MultCorrAns","+03"
"16",16449,396683,66519,NA,NA,NA,"physics","2",2012,16,"MultCorrAns","+03"
"17",13210,418504,47937,NA,NA,NA,"physics","2",2012,17,"MultCorrAns","+03"
"18",24530,427054,28067,NA,NA,NA,"physics","2",2012,18,"MultCorrAns","+03"
"19",28601,335569,115481,NA,NA,NA,"physics","2",2012,19,"MultCorrAns","+03"
"20",59458,366471,53722,NA,NA,NA,"physics","2",2012,20,"MultCorrAns","+03"
"21",69460,248824,161367,NA,NA,NA,"chemistry","1",2012,1,"SingCorrAns","-103"
"22",261659,97144,120848,NA,NA,NA,"chemistry","1",2012,2,"SingCorrAns","-103"
"23",165007,201808,112836,NA,NA,NA,"chemistry","1",2012,3,"SingCorrAns","-103"
"24",94966,188237,196448,NA,NA,NA,"chemistry","1",2012,4,"SingCorrAns","-103"
"25",169269,207070,103312,NA,NA,NA,"chemistry","1",2012,5,"SingCorrAns","-103"
"26",102810,287968,88873,NA,NA,NA,"chemistry","1",2012,6,"SingCorrAns","-103"
"27",121978,206883,150790,NA,NA,NA,"chemistry","1",2012,7,"SingCorrAns","-103"
"28",167506,237221,74924,NA,NA,NA,"chemistry","1",2012,8,"SingCorrAns","-103"
"29",64956,182975,231720,NA,NA,NA,"chemistry","1",2012,9,"SingCorrAns","-103"
"30",38394,295687,145570,NA,NA,NA,"chemistry","1",2012,10,"SingCorrAns","-103"
"31",53927,378928,46796,NA,NA,NA,"chemistry","1",2012,11,"MultCorrAns","+03"
"32",41937,390944,46770,NA,NA,NA,"chemistry","1",2012,12,"MultCorrAns","+03"
"33",24410,412660,42581,NA,NA,NA,"chemistry","1",2012,13,"MultCorrAns","+03"
"34",23035,357336,99280,NA,NA,NA,"chemistry","1",2012,14,"MultCorrAns","+03"
"35",31004,353781,94866,NA,NA,NA,"chemistry","1",2012,15,"MultCorrAns","+03"
"36",63377,335585,80689,NA,NA,NA,"chemistry","1",2012,16,"SingDigitInteger","+03"
"37",35871,332962,110818,NA,NA,NA,"chemistry","1",2012,17,"SingDigitInteger","+03"
"38",44035,381003,54613,NA,NA,NA,"chemistry","1",2012,18,"SingDigitInteger","+03"
"39",80561,324577,74513,NA,NA,NA,"chemistry","1",2012,19,"SingDigitInteger","+03"
"40",56005,322310,101336,NA,NA,NA,"chemistry","1",2012,20,"SingDigitInteger","+03"
"21",166864,141994,170793,NA,NA,NA,"chemistry","2",2012,1,"SingCorrAns","-103"
"22",140062,234408,105181,NA,NA,NA,"chemistry","2",2012,2,"SingCorrAns","-103"
"23",0,0,0,0,NA,NA,"chemistry","2",2012,3,"SingCorrAns","-103"
"24",50329,274468,154854,NA,NA,NA,"chemistry","2",2012,4,"SingCorrAns","-103"
"25",289686,136512,53453,NA,NA,NA,"chemistry","2",2012,5,"SingCorrAns","-103"
"26",152920,242692,84039,NA,NA,NA,"chemistry","2",2012,6,"SingCorrAns","-103"
"27",190439,198617,90595,NA,NA,NA,"chemistry","2",2012,7,"SingCorrAns","-103"
"28",134363,267362,77926,NA,NA,NA,"chemistry","2",2012,8,"SingCorrAns","-103"
"29",131991,240246,107414,NA,NA,NA,"chemistry","2",2012,9,"ParaSingleAns","-103"
"30",266674,146173,66804,NA,NA,NA,"chemistry","2",2012,10,"ParaSingleAns","-103"
"31",253119,154927,71605,NA,NA,NA,"chemistry","2",2012,11,"ParaSingleAns","-103"
"32",170495,165182,143974,NA,NA,NA,"chemistry","2",2012,12,"ParaSingleAns","-103"
"33",189794,204591,85266,NA,NA,NA,"chemistry","2",2012,13,"ParaSingleAns","-103"
"34",203753,186721,89177,NA,NA,NA,"chemistry","2",2012,14,"ParaSingleAns","-103"
"35",13836,364234,101581,NA,NA,NA,"chemistry","2",2012,15,"MultCorrAns","+03"
"36",26250,341991,111410,NA,NA,NA,"chemistry","2",2012,16,"MultCorrAns","+03"
"37",30070,415369,34212,NA,NA,NA,"chemistry","2",2012,17,"MultCorrAns","+03"
"38",5419,413193,61039,NA,NA,NA,"chemistry","2",2012,18,"MultCorrAns","+03"
"39",37570,410164,31917,NA,NA,NA,"chemistry","2",2012,19,"MultCorrAns","+03"
"40",13796,417086,48769,NA,NA,NA,"chemistry","2",2012,20,"MultCorrAns","+03"
"41",191340,203591,84720,NA,NA,NA,"maths","1",2012,1,"SingCorrAns","-103"
"42",143611,251092,84948,NA,NA,NA,"maths","1",2012,2,"SingCorrAns","-103"
"43",146738,261580,71333,NA,NA,NA,"maths","1",2012,3,"SingCorrAns","-103"
"44",149376,137346,192929,NA,NA,NA,"maths","1",2012,4,"SingCorrAns","-103"
"45",192794,219264,67593,NA,NA,NA,"maths","1",2012,5,"SingCorrAns","-103"
"46",237281,172660,69710,NA,NA,NA,"maths","1",2012,6,"SingCorrAns","-103"
"47",181859,210324,87468,NA,NA,NA,"maths","1",2012,7,"SingCorrAns","-103"
"48",245369,152557,81725,NA,NA,NA,"maths","1",2012,8,"SingCorrAns","-103"
"49",287156,141640,50855,NA,NA,NA,"maths","1",2012,9,"SingCorrAns","-103"
"50",287944,123080,68627,NA,NA,NA,"maths","1",2012,10,"SingCorrAns","-103"
"51",78802,389303,11546,NA,NA,NA,"maths","1",2012,11,"MultCorrAns","+03"
"52",66634,398550,14467,NA,NA,NA,"maths","1",2012,12,"MultCorrAns","+03"
"53",71848,366548,41255,NA,NA,NA,"maths","1",2012,13,"MultCorrAns","+03"
"54",40431,295919,143301,NA,NA,NA,"maths","1",2012,14,"MultCorrAns","+03"
"55",65318,319249,95084,NA,NA,NA,"maths","1",2012,15,"MultCorrAns","+03"
"56",51249,398674,29728,NA,NA,NA,"maths","1",2012,16,"SingDigitInteger","+03"
"57",64390,369908,45353,NA,NA,NA,"maths","1",2012,17,"SingDigitInteger","+03"
"58",60993,394718,23940,NA,NA,NA,"maths","1",2012,18,"SingDigitInteger","+03"
"59",65019,330702,83930,NA,NA,NA,"maths","1",2012,19,"SingDigitInteger","+03"
"60",76087,298661,104903,NA,NA,NA,"maths","1",2012,20,"SingDigitInteger","+03"
"41",221831,171840,85980,NA,NA,NA,"maths","2",2012,1,"SingCorrAns","-103"
"42",256491,126659,96501,NA,NA,NA,"maths","2",2012,2,"SingCorrAns","-103"
"43",206218,176892,96541,NA,NA,NA,"maths","2",2012,3,"SingCorrAns","-103"
"44",184808,212740,82103,NA,NA,NA,"maths","2",2012,4,"SingCorrAns","-103"
"45",309270,92004,78377,NA,NA,NA,"maths","2",2012,5,"SingCorrAns","-103"
"46",208232,222311,49108,NA,NA,NA,"maths","2",2012,6,"SingCorrAns","-103"
"47",164146,216683,98822,NA,NA,NA,"maths","2",2012,7,"SingCorrAns","-103"
"48",217797,162252,99602,NA,NA,NA,"maths","2",2012,8,"SingCorrAns","-103"
"49",174205,247171,58275,NA,NA,NA,"maths","2",2012,9,"ParaSingleAns","-103"
"50",246737,171452,61462,NA,NA,NA,"maths","2",2012,10,"ParaSingleAns","-103"
"51",218876,212030,48745,NA,NA,NA,"maths","2",2012,11,"ParaSingleAns","-103"
"52",224040,199213,56398,NA,NA,NA,"maths","2",2012,12,"ParaSingleAns","-103"
"53",156554,188888,134209,NA,NA,NA,"maths","2",2012,13,"ParaSingleAns","-103"
"54",149341,243074,87236,NA,NA,NA,"maths","2",2012,14,"ParaSingleAns","-103"
"55",47419,385994,46238,NA,NA,NA,"maths","2",2012,15,"MultCorrAns","+03"
"56",30617,368811,80223,NA,NA,NA,"maths","2",2012,16,"MultCorrAns","+03"
"57",37748,351139,90764,NA,NA,NA,"maths","2",2012,17,"MultCorrAns","+03"
"58",15697,321028,142926,NA,NA,NA,"maths","2",2012,18,"MultCorrAns","+03"
"59",23266,323455,132930,NA,NA,NA,"maths","2",2012,19,"MultCorrAns","+03"
"60",0,0,0,0,NA,NA,"maths","2",2012,20,"MultCorrAns","+03"
